"report_date","civic_buildings.ext_destroyed","civic_buildings.destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","educational_buildings.destroyed","educational_buildings.damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed","places_of_worship.mosques_destroyed","places_of_worship.mosques_damaged","places_of_worship.churches_destroyed","residential.ext_destroyed","residential.destroyed"
"2023-11-27",100,NA,65,260,NA,NA,90,169,3,NA,NA,NA,50000,50000
"2023-11-28",100,NA,66,262,NA,NA,91,171,3,NA,NA,NA,50000,NA
"2023-11-29",101,NA,66,263,NA,NA,93,172,3,NA,NA,NA,50000,NA
"2023-11-30",102,NA,66,264,NA,NA,94,174,3,NA,NA,NA,50000,50000
"2023-12-01",103,103,67,267,NA,267,95,175,3,NA,175,NA,50000,50000
"2023-12-02",103,NA,67,267,67,267,97,181,3,NA,181,3,50000,50000
"2023-12-03",103,103,67,270,67,270,98,183,3,NA,183,3,50000,50000
"2023-12-04",107,NA,69,271,NA,NA,99,186,3,NA,NA,NA,51000,NA
"2023-12-05",110,NA,70,273,NA,NA,101,189,3,NA,NA,NA,52000,52000
"2023-12-06",114,NA,72,274,NA,NA,102,191,3,NA,NA,NA,52000,NA
"2023-12-07",121,121,73,275,73,275,103,194,3,NA,194,3,52000,52000
"2023-12-08",122,NA,73,275,NA,NA,105,194,3,NA,NA,NA,52100,NA
"2023-12-09",123,NA,74,276,NA,NA,106,195,3,NA,NA,NA,52200,NA
"2023-12-10",124,NA,74,276,NA,NA,107,195,3,NA,NA,NA,52300,NA
"2023-12-11",124,NA,75,276,NA,NA,109,196,3,NA,NA,NA,52400,NA
"2023-12-12",126,126,75,277,75,277,110,196,3,110,196,3,52500,52500
"2023-12-13",126,NA,80,278,NA,NA,111,197,3,NA,NA,NA,52500,NA
"2023-12-14",126,NA,85,280,NA,NA,111,199,3,NA,NA,NA,52500,NA
"2023-12-15",126,126,90,282,90,282,112,200,3,112,200,3,52500,52500
"2023-12-16",126,NA,90,282,NA,NA,112,200,3,NA,NA,NA,52500,NA
"2023-12-17",126,NA,90,282,NA,NA,112,200,3,NA,NA,NA,52500,NA
"2023-12-18",126,126,90,282,90,282,112,200,3,112,200,3,52500,52500
"2023-12-19",126,126,90,282,90,282,112,200,3,112,200,3,52600,52600
"2023-12-20",126,126,90,283,90,283,114,200,3,114,200,3,53000,53000
"2023-12-21",126,NA,91,284,NA,NA,114,200,3,NA,NA,NA,55400,NA
"2023-12-22",126,NA,91,284,NA,NA,115,200,3,NA,NA,NA,57800,NA
"2023-12-23",126,126,92,285,92,285,115,200,3,115,200,3,60200,NA
"2023-12-24",126,NA,92,285,NA,NA,115,200,3,NA,NA,NA,62600,NA
"2023-12-25",126,126,92,285,92,285,115,200,3,115,200,3,65000,65000
"2023-12-26",126,NA,92,285,NA,NA,115,200,3,NA,NA,NA,65000,NA
"2023-12-27",126,126,92,285,92,285,115,200,3,115,200,3,65000,65000
"2023-12-28",126,NA,92,285,NA,NA,116,203,3,NA,NA,NA,65000,NA
"2023-12-29",126,NA,92,285,NA,NA,116,205,3,NA,NA,NA,65000,NA
"2023-12-30",126,126,92,285,92,285,117,208,3,117,208,3,65000,65000
"2023-12-31",126,126,92,285,92,285,119,212,3,119,212,3,65000,65000
"2024-01-01",130,130,93,292,93,292,120,212,3,120,212,3,65000,65000
"2024-01-02",130,NA,93,292,NA,NA,121,214,3,NA,NA,NA,65000,NA
"2024-01-03",130,NA,93,292,NA,NA,121,216,3,NA,NA,NA,65000,NA
"2024-01-04",130,130,93,292,93,292,122,218,3,122,218,3,65000,65000
"2024-01-05",132,NA,94,294,NA,NA,126,229,3,NA,NA,NA,67000,NA
"2024-01-06",134,134,94,295,94,295,130,240,3,130,240,3,69000,69000
"2024-01-07",134,134,94,295,94,295,134,240,3,134,240,3,69000,69000
"2024-01-08",134,NA,95,295,NA,NA,138,240,3,NA,NA,NA,69000,NA
"2024-01-09",134,134,95,295,95,295,142,240,3,142,240,3,69000,69000
"2024-01-10",134,NA,95,295,NA,NA,142,240,3,NA,NA,NA,69100,NA
"2024-01-11",134,134,95,295,95,295,142,240,3,142,240,3,69200,69200
"2024-01-12",134,NA,95,295,NA,NA,145,242,3,NA,NA,NA,69250,NA
"2024-01-13",134,NA,95,295,NA,NA,147,243,3,NA,NA,NA,69300,69300
"2024-01-14",134,134,95,295,95,295,150,245,3,150,245,3,70000,70000
"2024-01-15",135,NA,96,295,NA,NA,152,245,3,NA,NA,NA,70000,NA
"2024-01-16",136,NA,96,295,NA,NA,154,246,3,NA,NA,NA,70000,NA
"2024-01-17",137,NA,97,295,NA,NA,155,246,3,NA,NA,NA,70000,NA
"2024-01-18",138,138,97,295,97,295,157,246,3,157,246,3,70000,70000
"2024-01-19",139,NA,98,295,NA,NA,158,248,3,NA,NA,NA,70000,NA
"2024-01-20",139,NA,98,295,NA,NA,159,250,3,NA,NA,NA,70000,NA
"2024-01-21",140,NA,99,295,NA,NA,160,251,3,NA,NA,NA,70000,NA
"2024-01-22",140,140,99,295,99,295,161,253,3,161,253,3,70000,70000
"2024-01-23",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-24",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-25",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-26",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-27",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-28",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-29",140,NA,99,295,NA,NA,161,253,3,NA,NA,NA,70000,NA
"2024-01-30",140,140,99,295,99,295,161,253,3,161,253,3,70000,70000
"2024-01-31",140,NA,99,295,NA,NA,167,256,3,NA,NA,NA,70000,NA
"2024-02-01",140,NA,100,295,NA,NA,172,259,3,NA,NA,NA,70000,NA
"2024-02-02",140,NA,100,295,NA,NA,178,261,3,NA,NA,NA,70000,NA
"2024-02-03",140,140,100,295,100,295,183,264,3,183,264,3,70000,70000
"2024-02-04",140,NA,100,295,NA,NA,183,264,3,NA,NA,NA,70000,NA
"2024-02-05",141,NA,100,295,NA,NA,183,265,3,NA,NA,NA,70000,NA
"2024-02-06",141,NA,100,295,NA,NA,183,265,3,NA,NA,NA,70000,NA
"2024-02-07",141,NA,100,295,NA,NA,184,265,3,NA,NA,NA,70000,NA
"2024-02-08",141,NA,100,295,100,295,184,265,3,NA,NA,3,70000,NA
"2024-02-09",142,NA,100,295,NA,NA,184,266,3,NA,NA,NA,70000,NA
"2024-02-10",142,NA,100,295,NA,NA,184,266,3,NA,NA,NA,70000,NA
"2024-02-11",142,142,100,295,100,295,184,266,3,184,266,3,70000,70000
"2024-02-12",142,NA,100,295,NA,NA,184,266,3,NA,NA,NA,70000,NA
"2024-02-13",142,NA,100,295,NA,NA,184,266,3,NA,NA,NA,70000,NA
"2024-02-14",142,NA,100,295,NA,NA,184,266,3,NA,NA,NA,70000,NA
"2024-02-15",142,NA,100,295,NA,NA,184,266,3,NA,NA,NA,70000,NA
"2024-02-16",142,142,100,295,100,295,184,266,3,184,266,3,70000,70000
"2024-02-17",142,142,100,295,100,295,184,266,3,184,266,3,70000,70000
"2024-02-18",144,NA,100,297,NA,NA,188,268,3,NA,NA,NA,70000,NA
"2024-02-19",146,NA,100,298,NA,NA,192,270,3,NA,NA,NA,70000,NA
"2024-02-20",148,NA,100,300,NA,NA,196,272,3,NA,NA,NA,70000,NA
"2024-02-21",151,NA,100,301,NA,NA,200,274,3,NA,NA,NA,70000,NA
"2024-02-22",153,NA,100,303,NA,NA,204,276,3,NA,NA,NA,70000,NA
"2024-02-23",157,157,100,304,100,304,208,278,3,208,278,3,70000,70000
"2024-02-24",157,NA,100,304,NA,NA,209,279,3,NA,NA,NA,70000,NA
"2024-02-25",158,NA,100,304,NA,NA,209,279,3,NA,NA,NA,70000,NA
"2024-02-26",158,NA,100,305,NA,NA,210,280,3,NA,NA,NA,70000,NA
"2024-02-27",159,NA,100,305,NA,NA,210,280,3,NA,NA,NA,70000,NA
"2024-02-28",159,NA,100,305,NA,NA,211,281,3,NA,NA,NA,70000,NA
"2024-02-29",160,160,100,305,100,305,211,281,3,211,281,3,70000,70000
"2024-03-01",161,NA,100,305,NA,NA,213,282,3,NA,NA,NA,70000,NA
"2024-03-02",161,NA,100,305,NA,NA,214,283,3,NA,NA,NA,70000,NA
"2024-03-03",162,NA,100,305,NA,NA,216,283,3,NA,NA,NA,70000,NA
"2024-03-04",163,163,100,305,100,305,217,284,3,217,284,3,70000,70000
"2024-03-05",164,NA,100,305,NA,NA,217,285,3,NA,NA,NA,70000,NA
"2024-03-06",164,NA,100,305,NA,NA,218,285,3,NA,NA,NA,70000,NA
"2024-03-07",165,NA,100,305,NA,NA,218,286,3,NA,NA,NA,70000,NA
"2024-03-08",165,NA,100,305,NA,NA,219,286,3,NA,NA,NA,70000,NA
"2024-03-09",166,166,100,305,100,305,219,287,3,219,287,3,70000,70000
"2024-03-10",166,NA,100,305,NA,NA,220,287,3,NA,NA,NA,70000,NA
"2024-03-11",166,NA,100,305,NA,NA,221,288,3,NA,NA,NA,70000,NA
"2024-03-12",166,NA,100,305,NA,NA,221,288,3,NA,NA,NA,70000,NA
"2024-03-13",166,NA,100,305,NA,NA,222,289,3,NA,NA,NA,70000,NA
"2024-03-14",166,166,100,305,100,305,223,289,3,223,289,3,70000,70000
"2024-03-15",166,NA,100,305,NA,NA,223,289,3,NA,NA,NA,70000,NA
"2024-03-16",167,NA,100,305,NA,NA,223,289,3,NA,NA,NA,70000,NA
"2024-03-17",167,NA,100,305,NA,NA,223,289,3,NA,NA,NA,70000,NA
"2024-03-18",168,NA,100,305,NA,NA,223,289,3,NA,NA,NA,70000,NA
"2024-03-19",168,168,100,305,100,305,224,290,3,224,290,3,70000,70000
"2024-03-20",168,NA,100,305,NA,NA,224,290,3,NA,NA,NA,70000,NA
"2024-03-21",168,NA,100,305,NA,NA,224,290,3,NA,NA,NA,70000,NA
"2024-03-22",168,NA,100,305,NA,NA,224,290,3,NA,NA,NA,70000,NA
"2024-03-23",168,NA,100,305,NA,NA,224,290,3,NA,NA,NA,70000,NA
"2024-03-24",168,168,100,305,100,305,224,290,3,224,290,3,70000,70000
"2024-03-25",168,NA,100,305,NA,NA,225,291,3,NA,NA,NA,70000,NA
"2024-03-26",168,NA,100,305,NA,NA,225,292,3,NA,NA,NA,70000,NA
"2024-03-27",168,NA,100,305,NA,NA,226,292,3,NA,NA,NA,70000,NA
"2024-03-28",168,NA,100,305,NA,NA,226,293,3,NA,NA,NA,70000,NA
"2024-03-29",168,168,100,305,100,305,227,294,3,227,294,3,70000,70000
"2024-03-30",169,NA,100,305,NA,NA,227,295,3,NA,NA,NA,70000,NA
"2024-03-31",169,NA,100,305,NA,NA,228,295,3,NA,NA,NA,70000,NA
"2024-04-01",170,NA,100,305,NA,NA,228,296,3,NA,NA,NA,70000,NA
"2024-04-02",170,NA,100,305,NA,NA,229,296,3,NA,NA,NA,70000,NA
"2024-04-03",171,171,100,305,100,305,229,297,3,229,297,3,70000,70000
"2024-04-04",171,NA,100,305,NA,NA,229,297,3,NA,NA,NA,70000,NA
"2024-04-05",171,NA,100,305,NA,NA,229,297,3,NA,NA,NA,70000,NA
"2024-04-06",171,NA,100,305,NA,NA,229,297,3,NA,NA,NA,70000,NA
"2024-04-07",171,NA,100,305,NA,NA,229,297,3,NA,NA,NA,70000,NA
"2024-04-08",171,171,100,305,100,305,229,297,3,229,297,3,70000,70000
"2024-04-09",171,NA,100,305,NA,NA,230,298,3,NA,NA,NA,70000,NA
"2024-04-10",171,NA,100,305,NA,NA,231,299,3,NA,NA,NA,70000,NA
"2024-04-11",171,NA,100,305,NA,NA,231,299,3,NA,NA,NA,70000,NA
"2024-04-12",171,NA,100,305,NA,NA,232,300,3,NA,NA,NA,70000,NA
"2024-04-13",171,171,100,305,100,305,233,301,3,233,301,3,70000,70000
"2024-04-14",172,NA,101,306,NA,NA,234,303,3,NA,NA,NA,73200,NA
"2024-04-15",174,NA,101,307,NA,NA,235,306,3,NA,NA,NA,76400,NA
"2024-04-16",175,NA,102,307,NA,NA,235,308,3,NA,NA,NA,79600,NA
"2024-04-17",177,NA,102,308,NA,NA,236,311,3,NA,NA,NA,82800,NA
"2024-04-18",178,178,103,309,103,309,237,313,3,237,313,3,86000,86000
"2024-04-19",179,NA,103,309,NA,NA,237,314,3,NA,NA,NA,86000,NA
"2024-04-20",179,NA,103,309,NA,NA,238,315,3,NA,NA,NA,86000,NA
"2024-04-21",180,NA,103,309,NA,NA,238,315,3,NA,NA,NA,86000,NA
"2024-04-22",180,NA,103,309,NA,NA,239,316,3,NA,NA,NA,86000,NA
"2024-04-23",181,181,103,309,103,309,239,317,3,239,317,3,86000,86000
"2024-04-24",181,NA,103,309,NA,NA,240,318,3,NA,NA,NA,86000,NA
"2024-04-25",181,NA,103,310,NA,NA,241,319,3,NA,NA,NA,86000,NA
"2024-04-26",181,NA,103,310,NA,NA,241,319,3,NA,NA,NA,86000,NA
"2024-04-27",181,NA,103,311,NA,NA,242,320,3,NA,NA,NA,86000,NA
"2024-04-28",181,181,103,311,103,311,243,321,3,243,321,3,86000,86000
"2024-04-29",182,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-04-30",182,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-01",183,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-02",183,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-03",184,184,103,311,103,311,243,321,3,243,321,3,86000,86000
"2024-05-04",184,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-05",185,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-06",185,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-07",186,NA,103,311,NA,NA,243,321,3,NA,NA,NA,86000,NA
"2024-05-08",186,186,103,311,103,311,243,321,3,243,321,3,86000,86000
"2024-05-09",186,NA,103,311,NA,NA,244,322,3,NA,NA,NA,86000,NA
"2024-05-10",186,NA,103,311,NA,NA,245,323,3,NA,NA,NA,86000,NA
"2024-05-11",186,NA,103,311,NA,NA,245,324,3,NA,NA,NA,86000,NA
"2024-05-12",186,NA,103,311,NA,NA,246,325,3,NA,NA,NA,86000,NA
"2024-05-13",186,186,103,311,103,311,247,326,3,247,326,3,86000,86000
"2024-05-14",187,NA,104,311,NA,NA,604,200,3,NA,NA,NA,86200,NA
"2024-05-15",187,NA,105,312,NA,NA,604,200,3,NA,NA,NA,86400,NA
"2024-05-16",188,NA,105,312,NA,NA,604,200,3,NA,NA,NA,86600,NA
"2024-05-17",188,NA,106,313,NA,NA,604,200,3,NA,NA,NA,86800,NA
"2024-05-18",189,189,107,313,107,313,604,200,3,604,200,3,87000,87000
"2024-05-19",189,NA,107,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-20",189,NA,107,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-21",189,NA,107,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-22",189,NA,107,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-23",189,189,108,313,108,313,604,200,3,604,200,3,87000,87000
"2024-05-24",189,NA,108,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-25",189,NA,108,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-26",189,NA,108,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-27",189,NA,108,313,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-28",190,190,109,316,109,316,604,200,3,604,200,3,87000,87000
"2024-05-29",190,NA,109,316,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-30",190,NA,109,316,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-05-31",190,NA,109,316,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-06-01",190,NA,109,316,NA,NA,604,200,3,NA,NA,NA,87000,NA
"2024-06-02",192,192,109,318,109,318,604,200,3,604,200,3,88300,88300
"2024-06-03",192,NA,109,318,NA,NA,604,200,3,NA,NA,NA,88300,NA
"2024-06-04",192,NA,109,318,NA,NA,604,200,3,NA,NA,NA,88300,NA
"2024-06-05",192,NA,109,318,NA,NA,604,200,3,NA,NA,NA,88300,NA
"2024-06-06",192,NA,109,318,NA,NA,604,200,3,NA,NA,NA,88300,NA
"2024-06-07",192,192,110,319,110,319,604,200,3,604,200,3,138300,138300
"2024-06-08",192,NA,110,319,NA,NA,604,200,3,NA,NA,NA,138300,NA
"2024-06-09",192,NA,110,319,NA,NA,604,200,3,NA,NA,NA,138300,NA
"2024-06-10",192,NA,110,319,NA,NA,604,200,3,NA,NA,NA,138300,NA
"2024-06-11",192,NA,110,319,NA,NA,604,200,3,NA,NA,NA,138300,NA
"2024-06-12",194,194,110,321,110,321,604,200,3,604,200,3,138400,138400
"2024-06-13",194,NA,110,321,NA,NA,604,200,3,NA,NA,NA,138400,NA
"2024-06-14",194,NA,110,321,NA,NA,604,200,3,NA,NA,NA,138400,NA
"2024-06-15",194,NA,110,321,NA,NA,604,200,3,NA,NA,NA,138400,NA
"2024-06-16",194,NA,110,321,NA,NA,604,200,3,NA,NA,NA,138400,NA
"2024-06-17",194,194,110,321,110,321,608,209,3,608,209,3,138400,138400
"2024-06-18",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,138400,NA
"2024-06-19",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,138400,NA
"2024-06-20",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,138400,NA
"2024-06-21",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,138400,NA
"2024-06-22",194,194,110,321,110,321,608,209,3,608,209,3,150000,150000
"2024-06-23",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-06-24",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-06-25",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-06-26",194,NA,110,321,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-06-27",195,195,112,323,112,323,608,209,3,608,209,3,150000,150000
"2024-06-28",195,NA,112,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-06-29",195,NA,112,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-06-30",195,NA,112,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-07-01",195,NA,112,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-07-02",195,NA,112,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-07-03",195,195,113,323,113,323,608,209,3,608,209,3,150000,150000
"2024-07-04",195,NA,113,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-07-05",195,NA,113,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-07-06",195,NA,113,323,NA,NA,608,209,3,NA,NA,NA,150000,NA
"2024-07-07",196,196,114,326,114,326,609,211,3,609,211,3,150000,150000
"2024-07-08",196,NA,114,326,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-09",196,NA,114,326,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-10",196,NA,114,326,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-11",197,197,115,328,115,328,609,211,3,609,211,3,150000,150000
"2024-07-12",197,NA,115,328,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-13",197,NA,115,328,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-14",197,NA,115,328,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-15",197,NA,115,328,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-16",197,NA,115,328,NA,NA,609,211,3,NA,NA,NA,150000,NA
"2024-07-17",197,197,115,330,115,330,610,211,3,610,211,3,150000,150000
"2024-07-18",197,NA,115,330,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-19",197,NA,115,330,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-20",197,NA,115,330,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-21",197,NA,115,330,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-22",198,198,116,331,116,331,610,211,3,610,211,3,150000,150000
"2024-07-23",198,NA,116,331,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-24",198,NA,116,331,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-25",198,NA,116,331,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-26",198,NA,116,331,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-27",198,198,117,332,117,332,610,211,3,610,211,3,150000,150000
"2024-07-28",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-29",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-30",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-07-31",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-01",198,198,117,332,117,332,610,211,3,610,211,3,150000,150000
"2024-08-02",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-03",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-04",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-05",198,NA,117,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-06",198,198,120,332,120,332,610,211,3,610,211,3,150000,150000
"2024-08-07",198,NA,120,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-08",198,NA,120,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-09",198,NA,120,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-10",198,NA,120,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-11",198,NA,120,332,NA,NA,610,211,3,NA,NA,NA,150000,NA
"2024-08-12",198,198,121,333,121,333,610,214,3,610,214,3,150000,150000
"2024-08-13",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-14",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-15",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-16",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-17",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
"2024-08-18",198,NA,121,333,NA,NA,610,214,3,NA,NA,NA,150000,NA
